year,month,day,hand
1996,1,7,チョキ
1996,1,14,グー
1996,1,21,グー
1996,1,28,パー
1996,2,4,チョキ
1996,2,11,パー
1996,2,18,パー
1996,2,25,グー
1996,3,3,チョキ
1996,3,10,チョキ
1996,3,17,グー
1996,3,24,パー
1996,3,31,グー
1996,4,7,チョキ
1996,4,14,パー
1996,4,21,パー
1996,4,28,チョキ
1996,5,5,グー
1996,5,12,グー
1996,5,19,チョキ
1996,5,26,パー
1996,6,2,チョキ
1996,6,9,パー
1996,6,16,グー
1996,6,23,チョキ
1996,6,30,グー
1996,7,7,チョキ
1996,7,14,チョキ
1996,7,21,パー
1996,7,28,グー
1996,8,4,パー
1996,8,11,パー
1996,8,18,チョキ
1996,8,25,チョキ
1996,9,1,グー
1996,9,8,パー
1996,9,15,グー
1996,9,22,グー
1996,9,29,チョキ
1996,10,13,パー
1996,10,27,チョキ
1996,11,3,グー
1996,11,10,グー
1996,11,17,パー
1996,11,24,チョキ
1996,12,1,パー
1996,12,8,パー
1996,12,15,グー
1996,12,22,グー
1996,12,29,チョキ
1997,1,5,チョキ
1997,1,12,グー
1997,1,19,パー
1997,1,26,チョキ
1997,2,2,パー
1997,2,9,グー
1997,2,16,パー
1997,2,23,チョキ
1997,3,2,グー
1997,3,9,チョキ
1997,3,16,グー
1997,3,23,パー
1997,3,30,パー
1997,4,6,チョキ
1997,4,13,グー
1997,4,20,チョキ
1997,4,27,パー
1997,5,4,パー
1997,5,11,グー
1997,5,18,チョキ
1997,5,25,パー
1997,6,1,チョキ
1997,6,8,グー
1997,6,15,グー
1997,6,22,パー
1997,6,29,チョキ
1997,7,6,チョキ
1997,7,13,グー
1997,7,20,パー
1997,8,3,グー
1997,8,10,チョキ
1997,8,17,グー
1997,8,24,パー
1997,8,31,パー
1997,9,7,チョキ
1997,9,14,グー
1997,9,21,チョキ
1997,9,28,パー
1997,10,5,チョキ
1997,10,12,チョキ
1997,10,19,グー
1997,10,26,パー
1997,11,2,チョキ
1997,11,9,グー
1997,11,16,チョキ
1997,11,23,パー
1997,11,30,グー
1997,12,7,グー
1997,12,14,パー
1997,12,21,チョキ
1997,12,28,パー
1998,1,4,チョキ
1998,1,11,グー
1998,1,18,パー
1998,1,25,パー
1998,2,1,グー
1998,2,8,チョキ
1998,2,15,チョキ
1998,2,22,グー
1998,3,1,パー
1998,3,8,パー
1998,3,15,チョキ
1998,3,22,グー
1998,3,29,パー
1998,4,5,チョキ
1998,4,12,チョキ
1998,4,19,グー
1998,4,26,パー
1998,5,3,チョキ
1998,5,10,パー
1998,5,17,グー
1998,5,24,グー
1998,5,31,チョキ
1998,6,7,パー
1998,6,14,チョキ
1998,6,21,グー
1998,6,28,パー
1998,7,5,チョキ
1998,7,12,パー
1998,7,19,チョキ
1998,7,26,グー
1998,8,2,グー
1998,8,9,パー
1998,8,16,チョキ
1998,8,23,パー
1998,8,30,グー
1998,9,6,チョキ
1998,9,13,パー
1998,9,20,パー
1998,9,27,チョキ
1998,10,4,チョキ
1998,10,11,グー
1998,10,18,パー
1998,10,25,チョキ
1998,11,1,パー
1998,11,8,グー
1998,11,15,グー
1998,11,22,チョキ
1998,11,29,パー
1998,12,6,チョキ
1998,12,13,パー
1998,12,20,グー
1998,12,27,パー
1999,1,10,チョキ
1999,1,17,チョキ
1999,1,24,グー
1999,1,31,パー
1999,2,7,グー
1999,2,14,チョキ
1999,2,21,パー
1999,2,28,チョキ
1999,3,7,グー
1999,3,14,グー
1999,3,21,パー
1999,3,28,チョキ
1999,4,4,グー
1999,4,11,チョキ
1999,4,18,グー
1999,4,25,グー
1999,5,2,パー
1999,5,9,パー
1999,5,16,チョキ
1999,5,23,グー
1999,5,30,パー
1999,6,6,グー
1999,6,13,チョキ
1999,6,20,グー
1999,6,27,パー
1999,7,4,パー
1999,7,11,パー
1999,7,18,チョキ
